loc,1,2,3
262.7926687862,249.1313650098,209.0101072262,-4.0
262.7925009966,248.4953748565,207.5030489397,-3.9000000000000004
262.7921187785,247.7378776489,205.9241058078,-3.8000000000000003
262.7912745208,246.8443846563,204.2788537954,-3.7
262.78946645,245.8009215828,202.5739592795,-3.6
262.7857125224,244.5946970051,200.8171114836,-3.5
262.7781575598,243.2148612301,199.016922449,-3.4000000000000004
262.7634211956,241.6533243385,197.1827954462,-3.3000000000000003
262.7355675753,239.9055888468,195.3247640733,-3.2
262.6845631032,237.9715402783,193.4533056016,-3.1
262.5941055745,235.8561299346,191.5791333272,-3.0
262.4387855072,233.5698804358,189.7129736792,-2.9000000000000004
262.1807128807,231.1291480203,187.8653345556,-2.8000000000000003
261.7660399926,228.5560874264,186.0462717541,-2.7
261.1222387698,225.8782855913,184.2651604199,-2.6
260.1574948843,223.1280581819,182.5304781599,-2.5
258.7640075478,220.3414353752,180.8496059477,-2.4000000000000004
256.8270516005,217.5568962644,179.2286522501,-2.3000000000000003
254.2409917895,214.8139398864,177.6723051107,-2.2
250.931721722,212.151600207,176.1837163636,-2.1
246.8822720784,209.6070184314,174.7644219105,-2.0
242.1553248618,207.2141763904,173.4143021786,-1.9000000000000001
236.9045839117,205.0028694509,172.1315875458,-1.8
231.3681317858,202.9979586911,170.9129145742,-1.7000000000000002
225.8418600132,201.2188942185,169.7534400455,-1.6
220.6384801365,199.6794499194,168.6470205366,-1.5
216.0440310292,198.3875605494,167.5864648638,-1.4000000000000001
212.2853513987,197.3451110717,166.563864287,-1.3
209.5172031905,196.5475028572,165.5710000798,-1.2000000000000002
207.8289173703,195.9828226166,164.5998195065,-1.1
207.2622893997,195.6304862117,163.6429597289,-1.0
207.8289087745,195.459351139,162.6942861484,-0.9
209.5171564321,195.4255306513,161.7493997958,-0.8
212.2851139848,195.4705369875,160.8060610469,-0.7000000000000001
216.0428778235,195.5209124836,159.8644775277,-0.6000000000000001
220.6331483001,195.4909982431,158.927414613,-0.5
225.818528887,195.2904964159,158.0001070637,-0.4
231.2720401779,194.837368437,157.0899769384,-0.30000000000000004
236.5349086888,194.0740940282,156.2061906143,-0.2
240.8519516352,192.9823522407,155.3591105526,-0.1
242.8898681766,191.5900749302,154.5597105087,0.0
241.1990619669,189.9673362134,153.8190239162,0.1
235.8703392612,188.2125427631,153.1476848707,0.2
228.3000557268,186.4343890051,152.5556026258,0.30000000000000004
219.8422558616,184.7356136123,152.051788164,0.4
211.5550851526,183.2023288485,151.644329536,0.5
204.2441907301,181.8997626414,151.3404945545,0.6000000000000001
198.4263956138,180.8732214841,151.1469269136,0.7000000000000001
194.3176293377,180.1522784229,151.0698952443,0.8
191.9130355793,179.7562463652,151.1155533336,0.9
191.1264103648,179.6994459751,151.2901724585,1.0
191.91320497,179.9953016438,151.6003121733,1.1
194.3182762753,180.6587462395,152.0529028291,1.2000000000000002
198.4287280971,181.7067486835,152.6552208975,1.3
204.2525627774,183.1570244603,153.414746516,1.4000000000000001
211.5846403366,185.0251942528,154.3389015129,1.5
219.9435247381,187.3208510809,155.4346754919,1.6
228.6334146967,190.0431774761,156.7081572058,1.7000000000000002
236.9105183558,193.17688232,158.1639979537,1.8
244.1695115985,196.6892482057,159.8048423365,1.9000000000000001
250.0629181301,200.5289552839,161.6307683908,2.0
254.5174418769,204.6270764637,163.6387828306,2.1
257.6692104939,208.9002685699,165.8224169849,2.2
259.767057912,213.2557965225,168.1714645176,2.3000000000000003
261.0861985943,217.5977132048,170.671893215,2.4000000000000004
261.8724900777,221.8333462011,173.3059506612,2.5
262.3179271618,225.8792430559,176.052468685,2.6
262.5582170295,229.6658826471,178.8873556153,2.7
262.6818193635,233.1407199161,181.7842503442,2.8000000000000003
262.7425036726,236.2694267711,184.7152995801,2.9000000000000004
262.7709597323,239.0354599497,187.6520107616,3.0
262.7837102252,241.4382825412,190.5661286896,3.1
262.7891713624,243.490670435,193.4304842299,3.2
262.7914078041,245.2155521011,196.2197681051,3.3000000000000003
262.7922836786,246.6427796224,198.9111910264,3.4000000000000004
262.7926117827,247.8061375936,201.4850020847,3.5
262.7927293622,248.740790412,203.9248491855,3.6
262.7927696764,249.4812679438,206.2179771218,3.7
262.7927829028,250.0600072213,208.3552696113,3.8000000000000003
262.7927870554,250.5064090802,210.3311504587,3.9000000000000004
262.7927883623,250.8463332886,212.1433654976,4.0
